actual,idx,pred,cats,N0,N1,N2,N3,N4,I0,I1,I2,I3,I4
0.0,44,0.0,0,0,0,0,0,0,3612,1930,3235,937,3423
0.0,45,0.0,0,0,0,0,0,0,2627,3439,1635,2776,3299
0.0,46,0.0,0,0,0,0,0,0,4974,4962,3996,4946,3164
0.0,47,0.0,0,0,0,0,0,0,938,3836,3186,1959,1406
0.0,48,0.0,0,0,0,0,0,0,3938,1985,4231,3319,2448
0.0,49,0.0,0,0,0,0,0,0,4415,1461,3293,3897,1691
0.0,50,0.0,0,0,0,0,0,0,4297,1530,3738,424,3209
0.0,51,0.0,0,0,0,0,0,0,4144,184,119,1169,3982
0.0,52,0.0,0,0,0,0,0,0,4238,534,2296,2497,2007
0.0,53,0.0,0,0,0,0,0,0,4814,1645,357,3268,4924
0.0,54,0.0,0,0,0,0,0,0,861,2369,1625,1031,3292
0.0,55,0.0,0,0,0,0,0,2,2535,4294,2027,842,8104
0.0,56,0.0,0,0,0,0,0,0,2963,2917,3920,2943,4899
0.0,57,0.0,0,0,0,0,0,0,985,642,1582,2086,2642
0.0,58,0.0,0,0,0,0,0,0,4513,2535,4280,4622,3218
0.0,59,0.0,0,0,0,0,0,0,3806,2515,1169,2108,968
0.0,60,0.0,0,0,0,0,0,0,4854,87,1887,3281,619
0.0,61,0.0,0,0,0,0,0,0,3965,3470,4297,1705,70
0.0,62,0.0,0,0,0,0,0,0,951,2914,1433,1320,3451
0.0,63,0.0,0,0,0,0,0,0,2982,2905,3106,1265,2120
0.0,64,0.0,0,0,0,0,0,0,2061,2554,4721,837,4488
0.0,65,0.0,0,0,0,0,0,0,977,1194,731,3749,2374
0.0,66,0.0,0,0,0,0,0,0,685,2472,360,4138,2807
0.0,67,8.0,0,0,0,0,0,0,632,4558,844,1851,1036
0.0,68,0.0,0,0,0,0,0,0,1432,4729,758,2340,3375
0.0,69,0.0,0,0,0,0,0,0,4148,1626,1591,1855,2685
0.0,70,0.0,0,0,0,0,0,0,61,3965,1561,1529,2816
0.0,71,0.0,0,0,0,0,0,0,3079,3728,4336,259,975
0.0,72,0.0,3,3,3,3,3,3,9842,10048,10705,10345,10703
0.0,73,0.0,0,0,0,0,0,0,2564,3438,2374,4102,2227
0.0,74,0.0,0,0,0,7,0,0,2307,4663,12232,1397,3642
0.0,75,0.0,0,0,0,0,0,0,3664,200,1294,1151,1323
0.0,76,0.0,0,0,0,0,0,0,2808,274,3535,3508,1189
0.0,77,0.0,0,0,0,0,0,0,3506,1115,1695,2436,1843
0.0,78,0.0,0,0,0,0,0,0,328,2068,2646,4436,3426
0.0,79,0.0,0,0,2,0,0,0,3149,9659,390,2122,2499
0.0,80,0.0,0,0,0,0,0,0,1287,952,3074,1766,2014
0.0,81,0.0,0,0,0,0,0,0,3885,1298,4686,3606,4808
0.0,82,0.0,0,0,0,0,0,0,4592,4221,3131,3390,1054
0.0,83,0.0,0,0,0,0,0,0,2284,1033,3874,3260,4616
0.0,84,0.0,0,0,0,0,0,0,4339,4055,644,3695,1051
0.0,85,0.0,0,0,0,0,0,0,3951,1095,3682,3418,1031
0.0,86,0.0,0,0,0,0,0,0,688,3137,4775,2452,4433
0.0,87,0.0,0,0,0,0,0,0,60,1887,2821,4138,4854
0.0,88,0.0,0,0,0,0,0,0,812,3695,1012,3139,2681
0.0,89,0.0,0,0,0,0,0,0,2628,2933,1188,4384,3408
0.0,90,0.0,0,4,0,0,0,0,10935,3517,41,723,2662
0.0,91,0.0,0,0,0,0,0,0,1242,2528,1998,907,1685
0.0,92,0.0,0,0,0,0,0,0,4731,2970,3516,4681,1251
0.0,93,0.0,0,0,0,0,0,0,3672,855,710,4218,4856
0.0,94,0.0,0,0,0,2,0,0,543,712,8863,3327,1278
0.0,95,0.0,0,0,0,0,0,0,2897,1931,2548,1673,3134
0.0,96,0.0,0,0,0,0,0,0,342,1128,1998,642,985
0.0,97,0.0,0,0,0,0,0,0,2643,495,3873,3485,22
0.0,98,0.0,0,0,0,0,0,0,2612,129,3910,4156,3150
0.0,99,0.0,0,0,0,0,0,0,2972,4879,1678,1609,3349
0.0,100,0.0,0,0,0,0,0,0,2266,1281,2281,3861,596
0.0,101,0.0,0,0,0,0,0,0,1344,3454,1842,173,2686
0.0,102,0.0,0,0,0,0,0,0,710,2170,1414,2597,3319
0.0,103,2.0,1,2,2,0,5,0,9558,9238,3750,11747,676
0.0,104,0.0,0,0,0,0,0,0,4118,1817,1114,2814,2563
0.0,105,0.0,0,0,0,0,0,0,3599,918,3787,3198,2079
0.0,106,0.0,0,0,0,0,2,0,3264,1017,3695,9005,1078
0.0,107,0.0,0,0,0,0,0,0,2237,1713,3481,1776,2952
0.0,108,0.0,0,0,0,0,0,0,1388,2745,499,532,1623
0.0,109,0.0,0,0,0,0,0,0,373,1968,2470,3490,3816
0.0,110,0.0,0,0,0,0,0,0,569,4734,459,526,4592
0.0,111,0.0,0,0,0,0,0,0,3506,528,1695,77,1115
0.0,112,0.0,0,0,0,0,0,0,1488,473,4273,2887,3532
0.0,113,0.0,0,0,0,2,0,0,1396,3197,9536,668,4936
0.0,114,0.0,0,0,0,0,0,0,2782,285,1858,2410,4758
0.0,115,0.0,0,0,0,0,0,0,1972,3685,896,4240,2180
0.0,116,0.0,0,0,0,0,0,0,1025,3422,2505,4760,3582
0.0,117,0.0,0,0,0,0,0,0,1595,258,4788,4464,4277
0.0,118,0.0,0,0,0,0,0,0,2660,4408,3435,1395,1281
0.0,119,0.0,0,0,0,0,0,0,51,4354,59,3806,1556
0.0,120,0.0,0,0,0,0,0,0,1326,547,4165,1863,3741
0.0,121,3.0,3,3,3,3,3,3,10024,10040,10139,10532,10717
0.0,122,0.0,0,0,0,0,0,0,1846,853,2135,1148,4711
0.0,123,0.0,0,0,0,0,0,0,2055,2806,1150,235,4024
0.0,124,0.0,0,0,0,0,0,0,3537,4170,1401,2705,3145
0.0,125,0.0,0,0,0,0,0,0,3164,4938,2986,4796,2227
0.0,126,0.0,0,0,0,0,0,0,2610,1450,2251,1349,2153
0.0,127,0.0,0,0,0,0,0,0,4237,3418,1095,1271,559
0.0,128,0.0,0,0,0,0,0,0,3381,455,4360,1777,845
0.0,129,0.0,0,0,0,0,0,0,1060,4506,353,4785,3617
0.0,130,0.0,0,0,0,0,0,0,925,2937,1631,3499,4307
0.0,131,0.0,0,0,0,0,0,0,836,1997,8,3329,4817
0.0,132,0.0,0,0,0,0,0,0,3399,3856,2911,4468,2154
0.0,133,0.0,0,0,4,0,0,0,490,11130,4728,160,765
0.0,134,0.0,0,0,0,0,0,0,4205,4030,4653,3498,1820
0.0,135,0.0,0,0,0,0,0,0,2951,2558,2979,1228,1264
0.0,136,0.0,0,0,0,0,0,0,779,885,4658,852,1152
0.0,137,0.0,0,0,0,0,0,0,4986,4778,4205,1690,4475
0.0,138,0.0,0,0,0,0,0,0,3301,4472,2798,2784,1792
0.0,139,0.0,0,0,0,0,0,0,1149,4711,4897,2761,1730
0.0,140,0.0,0,0,0,0,0,0,949,3817,583,4734,3350
0.0,141,0.0,0,0,0,0,0,0,1903,2389,3377,1474,4416
0.0,142,0.0,0,0,0,0,0,0,2858,2646,1255,3999,1117
0.0,143,8.0,0,8,0,0,0,0,12347,692,3163,4194,3184
0.0,144,0.0,0,0,0,0,0,0,4367,4210,2831,35,3551
0.0,145,0.0,0,0,0,0,0,0,3818,2645,3319,1821,3265
0.0,146,0.0,0,0,0,0,0,0,1389,2073,482,4458,4474
0.0,147,0.0,0,0,0,0,0,0,202,956,1403,2857,2190
0.0,148,0.0,0,0,0,0,0,0,3751,305,4589,4361,4325
0.0,149,0.0,0,0,0,0,0,0,703,3611,538,3268,3752
0.0,150,0.0,0,0,0,0,0,0,1504,1757,2586,4496,1436
0.0,151,0.0,0,0,0,0,0,0,4771,2726,3505,273,224
0.0,152,0.0,0,0,0,0,0,0,1685,3587,1998,1361,1744
0.0,153,0.0,0,0,0,0,0,0,661,3921,4453,2046,4194
0.0,154,2.0,0,2,0,0,0,0,8144,2241,4207,2247,4349
0.0,155,0.0,0,0,0,0,0,0,4469,4066,2872,4607,2069
0.0,156,0.0,0,0,0,0,0,0,1718,833,4526,1934,4905
0.0,157,0.0,0,0,0,0,0,0,3984,4159,1313,4610,2721
0.0,158,0.0,0,0,0,0,0,0,3623,3364,1069,3153,818
0.0,159,0.0,0,0,0,0,0,0,4749,2925,3862,3440,4965
0.0,160,0.0,0,0,0,0,0,0,1077,3328,1310,3693,765
0.0,161,0.0,0,0,0,0,0,0,1830,2902,1737,1010,4434
0.0,162,0.0,0,0,0,0,0,0,324,4370,3445,4140,570
0.0,163,0.0,0,0,0,0,0,0,4391,1266,4521,3464,354
0.0,164,0.0,0,0,0,0,0,0,2325,2147,2473,4927,3681
0.0,165,0.0,0,0,0,0,0,0,716,3962,190,3998,2565
0.0,166,0.0,0,0,0,0,0,0,2022,3672,2192,2555,93
0.0,167,0.0,0,0,0,0,0,0,577,3731,3102,548,1350
0.0,168,0.0,0,0,0,0,0,0,3994,3078,327,4134,1557
0.0,169,0.0,0,0,0,0,0,0,336,4434,1559,425,4230
0.0,170,0.0,0,0,0,0,0,0,1964,4193,4763,1878,2331
0.0,171,0.0,0,0,0,0,0,0,3914,3924,806,128,3477
0.0,172,0.0,0,0,0,0,0,0,48,4,2274,77,1695
0.0,173,0.0,0,0,0,0,0,0,4898,3046,1620,1872,1297
0.0,174,0.0,0,0,0,0,0,0,4531,4334,2083,2794,10
0.0,175,0.0,0,0,0,0,0,0,557,230,3513,4405,2473
0.0,176,0.0,0,0,0,0,0,0,287,4858,3162,3751,4286
0.0,177,0.0,0,0,0,0,0,0,4426,3683,815,1959,2977
0.0,178,0.0,0,0,0,0,0,0,1874,1179,4,2274,327
0.0,179,0.0,0,0,0,0,0,0,1181,1248,4760,486,2962
0.0,180,0.0,0,0,0,0,0,0,2854,4711,3131,3198,2171
0.0,181,0.0,0,0,0,0,0,0,2812,212,3513,3628,4080
0.0,182,0.0,0,0,0,0,0,0,1245,1157,3165,4562,2132
0.0,183,0.0,0,0,0,0,0,0,4774,2120,3894,3295,2273
0.0,184,0.0,0,0,0,0,0,0,1556,4136,621,51,1422
0.0,185,0.0,0,0,0,0,0,0,4346,1651,1591,2937,2158
0.0,186,0.0,0,0,0,0,0,0,4676,28,1466,2289,1304
0.0,187,0.0,0,0,0,0,0,0,4180,1706,3800,4157,4223
0.0,188,0.0,0,0,0,0,0,0,4876,1512,2032,3229,276
0.0,189,0.0,0,0,0,0,0,0,3380,3850,2488,402,1216
0.0,190,0.0,0,0,0,0,0,0,4962,4319,898,939,501
0.0,191,0.0,0,0,0,0,0,0,2558,2151,1089,4150,1249
0.0,192,0.0,0,0,2,0,0,0,3720,9675,863,1221,3780
0.0,193,0.0,0,0,0,0,0,0,2343,1592,307,4599,2125
0.0,194,0.0,0,0,0,0,0,0,2229,759,1462,736,2412
0.0,195,0.0,0,0,0,0,0,0,3969,677,3911,3575,4575
0.0,196,0.0,0,0,0,0,0,0,3812,4355,2674,2966,1838
0.0,197,0.0,0,0,0,0,0,0,3591,1729,2082,2006,4090
0.0,198,0.0,0,0,0,0,0,0,4908,3291,725,663,2791
0.0,199,0.0,0,0,0,0,0,0,1719,4123,4652,2470,4672
0.0,200,0.0,0,0,0,0,0,0,3664,1463,3713,437,1627
0.0,201,0.0,0,0,0,0,0,0,1444,1724,916,4180,3497
0.0,202,0.0,0,0,0,0,0,0,147,1403,3349,2857,3971
0.0,203,0.0,0,0,0,0,0,0,4680,437,2748,3713,1502
0.0,204,0.0,0,0,0,0,0,0,674,2967,1493,2138,504
0.0,205,0.0,0,0,0,0,0,0,2526,4982,3232,995,691
0.0,206,0.0,0,0,0,0,0,0,661,977,1551,1618,2046
0.0,207,0.0,0,0,0,0,0,0,1768,3611,4092,1977,4611
0.0,208,0.0,0,0,0,0,0,0,3491,3128,2965,2591,4720
0.0,209,0.0,0,0,0,0,0,0,4958,4066,4526,1859,2608
0.0,210,0.0,0,0,0,0,0,0,4182,722,763,1076,2084
0.0,211,0.0,0,0,0,0,0,0,4311,3563,3178,3699,3639
0.0,212,0.0,0,0,0,0,0,0,352,3398,3234,1708,181
0.0,213,0.0,0,0,0,0,0,0,2205,678,3873,495,2234
0.0,214,0.0,0,0,0,0,0,0,429,690,1860,3926,681
0.0,215,0.0,0,0,0,0,0,0,1488,1373,300,1412,241
0.0,216,0.0,0,0,0,0,0,0,4764,2843,758,2716,1828
0.0,217,0.0,0,0,0,0,0,7,670,2841,2093,3912,12143
0.0,218,0.0,0,0,0,0,0,0,3864,1868,1728,3076,896
0.0,219,0.0,0,0,0,0,0,0,3599,1162,2784,2689,3635
0.0,220,0.0,0,0,0,0,0,0,4803,815,525,177,4188
0.0,221,0.0,0,0,0,2,0,0,271,286,8876,3468,384
0.0,222,0.0,0,0,0,0,0,0,4983,4287,3656,3576,3792
0.0,223,0.0,0,0,0,0,0,0,1909,1972,2450,4141,4157
0.0,224,0.0,0,0,2,0,0,0,2742,8724,151,4123,4069
0.0,225,0.0,0,0,0,0,0,0,387,3483,1490,1420,2453
0.0,226,0.0,0,0,0,0,0,0,471,3688,2387,3617,424
0.0,227,0.0,0,0,0,0,0,0,1261,2933,1343,3191,3919
0.0,228,0.0,0,0,0,0,0,0,2596,1491,1847,1355,946
0.0,229,0.0,0,0,0,0,0,0,1993,1245,3949,3637,1085
0.0,230,0.0,0,0,0,0,0,0,4389,175,2473,557,3513
0.0,231,0.0,0,0,0,0,0,0,244,3914,4203,3341,2146
0.0,232,0.0,0,0,0,0,0,1,641,1572,3368,3588,5467
0.0,233,0.0,0,0,0,0,0,0,1943,4550,2717,3107,4506
0.0,234,0.0,0,0,0,0,0,0,3934,869,2880,3554,3871
0.0,235,0.0,0,0,0,0,0,0,2055,3138,123,2091,1150
0.0,236,0.0,0,0,0,0,0,0,749,2393,4879,999,2568
0.0,237,0.0,0,0,0,0,0,0,4213,3740,1021,4921,3564
0.0,238,0.0,0,0,0,0,0,0,2980,4134,446,334,4122
0.0,239,0.0,0,0,0,0,0,0,3789,2532,4736,4943,596
0.0,240,0.0,0,0,0,0,0,0,3519,4823,328,1932,2565
0.0,241,0.0,0,0,0,0,0,0,326,2178,1373,300,622
0.0,242,8.0,2,2,4,2,4,0,9386,11227,9235,11501,3780
0.0,243,0.0,0,0,0,0,0,0,1722,3296,203,2324,3540
0.0,244,0.0,0,0,0,0,0,0,463,1472,2779,1567,1661
0.0,245,0.0,0,0,0,0,0,0,2297,82,3198,1680,3984
0.0,246,0.0,0,0,0,0,0,0,1282,1059,3694,1513,2269
0.0,247,0.0,0,0,0,0,0,0,248,1836,4938,2565,2369
0.0,248,0.0,0,0,0,0,0,0,197,4740,3591,247,4758
0.0,249,0.0,0,0,0,0,0,0,4559,2015,1192,2711,4236
0.0,250,0.0,0,0,0,0,0,0,2828,973,2359,4042,2648
0.0,251,0.0,0,0,0,0,0,0,3931,3612,2773,3653,3892
0.0,252,0.0,0,0,0,0,0,0,4301,1904,696,4870,1544
0.0,253,0.0,0,0,2,0,0,0,1770,8838,2915,361,2894
0.0,254,0.0,0,0,0,0,0,0,4327,2102,472,678,1665
0.0,255,0.0,0,0,0,0,0,0,3490,373,4056,3897,2446
0.0,256,0.0,0,0,0,0,0,0,4879,2624,865,2411,1678
0.0,257,0.0,0,0,2,0,0,0,3171,8514,4953,4131,4689
0.0,258,0.0,0,0,0,0,0,0,117,4277,533,4464,3744
0.0,259,0.0,0,0,0,0,0,0,3815,1728,4304,4292,1898
0.0,260,0.0,0,0,0,0,0,0,4364,2161,424,1456,4054
0.0,261,0.0,0,0,0,0,0,0,832,4469,1828,2574,4066
0.0,262,0.0,0,0,0,0,0,0,3553,4029,1027,3103,860
0.0,263,0.0,0,0,0,0,0,0,4060,1529,3996,1561,3376
0.0,264,0.0,0,0,0,0,0,0,209,2608,4526,1241,48
0.0,265,0.0,0,0,0,0,0,0,2388,463,2487,10,1568
0.0,266,0.0,0,0,0,0,0,0,4168,4419,2489,210,4986
0.0,267,0.0,0,0,0,0,0,0,2885,1737,2682,2793,2655
0.0,268,0.0,0,0,0,0,0,0,1109,4054,2161,4277,424
0.0,269,0.0,0,0,0,0,0,0,4703,3611,805,1790,703
0.0,270,0.0,0,0,0,0,0,0,3324,4905,1320,3310,3701
0.0,271,0.0,0,0,0,0,0,0,3468,3720,2499,286,671
0.0,272,0.0,0,0,0,0,0,0,2568,738,563,749,2506
0.0,273,0.0,0,0,0,0,0,0,2200,1425,185,2158,1374
0.0,274,0.0,0,0,0,0,0,0,3508,3961,2808,2641,4080
0.0,275,0.0,0,0,0,0,0,0,4889,2137,969,2211,1102
0.0,276,0.0,0,0,0,0,0,0,4876,2394,4621,188,4807
0.0,277,0.0,0,0,0,0,0,0,446,4567,2517,894,3025
0.0,278,0.0,0,0,0,0,0,0,4606,2908,4016,1323,2994
0.0,279,0.0,0,0,0,0,0,0,2926,4850,4057,138,576
0.0,280,0.0,0,0,0,0,0,0,3407,4820,2851,3778,1340
0.0,281,0.0,0,0,0,0,0,0,1854,845,3733,4584,4624
0.0,282,0.0,0,0,0,0,0,0,2911,2471,1917,283,1263
0.0,283,0.0,0,0,0,0,0,0,3066,498,1263,1917,1143
0.0,284,0.0,0,0,0,0,0,0,2541,974,3179,3401,4811
0.0,285,0.0,0,0,0,0,0,0,114,3869,1800,2254,625
0.0,286,0.0,0,0,0,0,0,0,271,3468,2644,221,3658
0.0,287,0.0,0,0,0,0,0,0,176,3162,4858,1882,3854
0.0,288,0.0,0,0,0,0,0,0,4885,109,2880,720,3607
0.0,289,0.0,0,0,0,0,0,0,335,2808,2634,1408,4745
0.0,290,0.0,0,0,0,0,0,0,1397,3365,3068,1477,1377
0.0,291,0.0,0,0,0,0,0,0,2942,1061,1344,4174,2162
0.0,292,0.0,0,0,0,0,0,0,2580,3652,1347,714,1262
0.0,293,0.0,0,0,0,0,0,0,2900,416,2007,1867,2849
0.0,294,0.0,0,0,0,0,0,0,2625,2579,2987,337,4951
0.0,295,0.0,0,0,1,0,0,0,2474,6699,4706,3252,582
0.0,296,0.0,0,0,0,0,0,0,1821,4843,334,93,2294
0.0,297,0.0,0,0,0,0,0,0,3808,4999,3636,3679,526
0.0,298,0.0,0,0,0,1,0,0,1623,108,5900,479,2841
0.0,299,0.0,0,0,0,0,0,0,4931,2809,4203,2468,615
0.0,300,0.0,0,0,0,0,0,0,111,2178,2085,77,1100
0.0,301,0.0,0,0,0,0,0,0,1074,824,4646,2739,3759
0.0,302,0.0,0,0,0,0,0,0,2584,1792,534,1808,985
0.0,303,0.0,0,0,0,0,0,0,2552,4026,2665,2171,2626
0.0,304,0.0,0,0,0,0,0,0,1141,2074,3345,552,1475
0.0,305,0.0,0,0,0,0,0,0,2245,424,471,2217,3854
0.0,306,0.0,0,0,0,0,0,0,2877,754,2273,529,3574
0.0,307,0.0,0,0,0,0,0,0,3391,3031,2200,4499,345
0.0,308,0.0,0,0,0,0,0,0,2611,2402,2666,3022,2004
0.0,309,0.0,0,0,0,0,0,0,661,977,2046,1740,1551
0.0,310,0.0,0,0,0,0,0,0,3066,808,2718,3385,1551
0.0,311,0.0,0,0,0,0,0,0,4546,1556,4540,1923,184
0.0,312,0.0,0,0,0,0,0,0,4519,1204,1530,3374,3833
0.0,313,0.0,0,0,0,0,0,0,4486,3094,179,2962,4615
0.0,314,0.0,0,0,0,0,0,0,3352,1348,4813,1228,4029
0.0,315,0.0,0,0,0,0,0,0,3119,1862,3042,3260,720
0.0,316,0.0,0,0,0,0,0,0,3694,2792,2479,1031,2042
0.0,317,0.0,0,0,0,0,0,0,919,1300,4432,1722,985
0.0,318,0.0,0,0,0,0,0,0,4378,3799,4534,567,1567
0.0,319,0.0,0,0,0,0,0,0,4988,1798,2580,2677,755
0.0,320,0.0,0,0,0,0,0,0,1792,3518,4626,3301,138
0.0,321,0.0,0,0,0,0,0,0,2824,229,4687,1849,2144
0.0,322,0.0,0,0,0,0,0,0,483,2509,535,1268,821
0.0,323,0.0,1,0,3,3,0,0,1006,10191,10063,3149,1
0.0,324,0.0,0,0,0,0,0,0,162,1122,4539,3445,4140
0.0,325,2.0,0,0,0,0,2,0,931,3146,4597,8724,3278
0.0,326,0.0,0,0,0,0,0,0,1373,4081,1779,622,3231
0.0,327,0.0,0,0,0,0,0,0,1874,2274,168,4654,1528
0.0,328,0.0,0,0,0,0,0,0,78,1427,240,1175,1819
0.0,329,0.0,0,0,0,0,0,0,2118,3031,3187,2815,4457
0.0,330,0.0,0,0,0,0,0,0,3354,1282,2171,488,3796
0.0,331,0.0,0,0,0,0,0,0,2079,585,643,1649,3633
0.0,332,0.0,0,0,0,0,0,0,2606,1775,849,3221,1674
0.0,333,0.0,0,0,0,0,2,0,4723,3654,2968,9392,4058
0.0,334,0.0,0,0,0,0,0,0,238,1821,2980,446,296
0.0,335,0.0,0,0,0,0,0,0,1826,466,4845,723,3378
0.0,336,0.0,0,0,0,0,0,0,2655,169,894,3297,4434
0.0,337,0.0,0,0,0,0,0,0,2778,2726,3479,3952,2625
0.0,338,2.0,1,2,0,2,0,2,8281,3906,9727,4457,9480
0.0,339,0.0,0,0,0,0,0,0,2984,246,78,4505,2246
0.0,340,0.0,0,0,0,0,0,0,3772,4819,2686,3013,988
0.0,341,0.0,0,0,0,0,0,0,3131,2552,3515,2994,4680
0.0,342,0.0,0,0,0,0,0,0,96,589,4835,3277,1998
0.0,343,0.0,0,0,0,0,0,0,1634,2308,3020,3533,1959
0.0,344,0.0,0,0,0,0,0,0,4572,3879,636,4598,2569
0.0,345,0.0,0,0,0,0,0,0,4256,3031,2643,3187,1745
0.0,346,0.0,0,0,0,0,0,0,2872,2069,3729,4998,3306
0.0,347,0.0,0,0,0,0,0,0,3936,806,2560,1611,2552
0.0,348,0.0,0,0,0,0,0,0,351,4469,2856,3137,126
0.0,349,0.0,0,0,0,0,0,0,767,2968,3842,1731,4699
0.0,350,0.0,0,0,0,0,0,0,1191,3744,4277,4820,533
0.0,351,0.0,0,0,0,0,0,0,3078,2556,3994,4158,168
0.0,352,0.0,0,0,0,0,0,0,4136,4109,3404,1556,1789
0.0,353,0.0,0,0,0,0,0,0,3617,565,2997,4188,2540
0.0,354,0.0,0,0,0,0,0,0,2977,4100,2984,3100,1959
0.0,355,0.0,0,0,0,0,0,0,3054,4155,1893,3967,4327
0.0,356,0.0,0,0,0,0,0,0,1811,2689,1834,2730,219
0.0,357,0.0,0,0,0,0,0,0,779,885,3268,678,538
0.0,358,0.0,0,0,0,0,0,0,4935,3773,4163,3122,1376
0.0,359,0.0,0,0,0,0,0,0,1559,2322,3833,958,4695
0.0,360,0.0,0,0,0,0,0,0,4138,2599,2448,1887,1910
0.0,361,0.0,0,0,0,0,0,0,399,3895,2742,1770,253
0.0,362,0.0,0,0,0,0,0,0,4491,652,4249,3660,432
0.0,363,0.0,0,0,0,0,0,0,3964,1474,2390,4046,4894
0.0,364,0.0,0,0,0,0,0,0,19,1261,1880,4970,4664
0.0,365,0.0,0,0,0,0,0,0,2817,4185,1563,3226,922
0.0,366,0.0,0,0,0,0,0,0,2167,1118,1132,2221,4884
0.0,367,0.0,0,0,0,0,0,0,1771,4206,554,2637,4903
0.0,368,0.0,0,0,0,0,0,8,632,4558,1851,1128,12273
0.0,369,0.0,0,0,0,0,0,0,2749,3454,1588,2365,1344
0.0,370,0.0,0,0,0,0,0,0,3489,4135,2663,430,931
0.0,371,0.0,0,0,0,0,0,0,599,4666,4445,1393,840
0.0,372,0.0,0,0,0,0,0,0,3463,1694,869,4646,1016
0.0,373,0.0,0,0,0,0,0,0,109,2919,1643,818,255
0.0,374,0.0,0,0,0,0,0,0,4423,4341,4625,337,2735
0.0,375,0.0,0,0,0,0,0,0,3422,3582,1163,3674,1545
0.0,376,0.0,0,0,0,0,0,0,986,3743,2979,4948,4441
0.0,377,0.0,0,0,0,0,0,0,2910,4616,1770,3260,2318
0.0,378,0.0,0,0,0,0,0,0,2882,1232,1787,2361,1701
0.0,379,0.0,0,0,0,0,0,0,303,3694,2552,3936,2908
0.0,380,0.0,0,0,0,0,0,0,4579,3473,4315,3500,3110
0.0,381,0.0,0,0,0,0,0,0,3014,3392,182,2003,3947
0.0,382,0.0,0,0,0,0,0,0,3969,195,3416,4158,3810
0.0,383,0.0,0,0,0,0,0,0,4712,4332,1698,555,1526
0.0,384,0.0,0,0,0,0,0,0,2304,4931,3712,3468,949
0.0,385,0.0,0,0,0,0,0,0,2302,3679,1196,1401,495
